timestamp,predicted_fuel_consumption_liters,vehicle_count_proxy
2025-01-01 00:00:00,48.36,12
2025-01-01 01:00:00,30.76,12
2025-01-01 02:00:00,24.91,12
2025-01-01 03:00:00,28.24,14
2025-01-01 04:00:00,30.87,17
2025-01-01 05:00:00,59.48,24
2025-01-01 06:00:00,189.23,35
2025-01-01 07:00:00,226.36,46
2025-01-01 08:00:00,342.94,50
2025-01-01 09:00:00,342.99,46
2025-01-01 10:00:00,264.36,53
2025-01-01 11:00:00,291.31,43
2025-01-01 12:00:00,229.27,36
2025-01-01 13:00:00,279.53,35
2025-01-01 14:00:00,306.99,39
2025-01-01 15:00:00,255.89,48
2025-01-01 16:00:00,326.43,60
2025-01-01 17:00:00,395.35,70
2025-01-01 18:00:00,397.96,74
2025-01-01 19:00:00,330.79,70
2025-01-01 20:00:00,253.99,59
2025-01-01 21:00:00,193.25,48
2025-01-01 22:00:00,165.68,21
2025-01-01 23:00:00,73.83,16
